frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
56,2.0,[2358.87548828125 1030.1358642578125 3563.2470703125 1731.2545166015625],[3022.705810546875 1527.009521484375 3315.750732421875 1624.34765625],0.6680974364280701,MIF899FM,0.8795198816854435
57,3.0,[1308.799560546875 1016.3566284179688 2228.105224609375 1748.517333984375],[1597.9639892578125 1533.72802734375 1898.6751708984375 1637.6484375],0.7706955671310425,MI589FN,0.992423504779956
57,1.0,[70.40471649169922 990.3963012695312 1326.5255126953125 1704.890869140625],[306.50543212890625 1389.33642578125 587.947509765625 1487.74462890625],0.7320014238357544,MI399CT,0.8423733051315454
58,3.0,[1309.2501220703125 1016.7816162109375 2228.31494140625 1748.3082275390625],[1598.548095703125 1533.134765625 1900.083984375 1638.3310546875],0.7734466791152954,MI589FN,0.8456579580328621
58,1.0,[70.56584930419922 990.7979125976562 1326.6064453125 1705.0667724609375],[305.2912292480469 1390.004638671875 588.2255859375 1488.2193603515625],0.7270330190658569,MI399CT,0.9331365311151169
58,2.0,[2360.271728515625 1030.2587890625 3562.104248046875 1735.1597900390625],[3020.729736328125 1527.11474609375 3313.617919921875 1628.016845703125],0.6912470459938049,MII899FM,0.5445238549221328
59,1.0,[70.59918975830078 991.0825805664062 1327.050048828125 1705.1390380859375],[306.34808349609375 1390.00634765625 588.5035400390625 1488.4786376953125],0.7238643169403076,MI399CT,0.3941334985185589
60,3.0,[1309.2191162109375 1016.8375854492188 2228.881591796875 1747.0228271484375],[1600.198974609375 1533.617919921875 1901.81982421875 1639.146728515625],0.764066755771637,MI589FN,0.9842632787110718
60,1.0,[70.75000762939453 992.1644897460938 1327.6068115234375 1704.3250732421875],[304.65875244140625 1389.9949951171875 588.1370849609375 1488.8544921875],0.7260947823524475,M1399CI,0.7166152633555479
61,3.0,[1308.509521484375 1016.7789916992188 2228.532470703125 1746.0540771484375],[1600.882568359375 1532.6748046875 1902.788330078125 1639.427490234375],0.7616347670555115,MII589FN,0.4303460101093901
61,1.0,[71.10906219482422 992.655517578125 1327.3287353515625 1703.84033203125],[304.5282897949219 1389.9063720703125 588.3359375 1488.6954345703125],0.7246049046516418,MI399CT,0.9082844185515865
62,2.0,[2361.15771484375 1031.2681884765625 3561.056884765625 1733.6258544921875],[3026.703857421875 1529.9154052734375 3313.0341796875 1628.6759033203125],0.7271847128868103,MII899FM,0.36401883475508795
62,1.0,[71.7300033569336 992.9920043945312 1327.861328125 1705.3114013671875],[304.5638122558594 1389.5146484375 589.0806884765625 1489.310546875],0.7252997756004333,MI399CI,0.5043889996812838
63,1.0,[72.08052062988281 992.0875244140625 1327.7398681640625 1704.8197021484375],[304.8087158203125 1389.965087890625 588.484375 1489.1356201171875],0.7263472676277161,MI399CT,0.8580676499789877
64,3.0,[1308.5626220703125 1018.5888061523438 2228.706298828125 1746.51953125],[1603.98828125 1532.89013671875 1902.653076171875 1639.295654296875],0.759458065032959,MI589FN,0.9955170625262074
64,1.0,[72.8277816772461 991.8550415039062 1327.775146484375 1704.4466552734375],[301.8167419433594 1389.19775390625 588.6240234375 1490.265625],0.7268522381782532,MI399CT,0.98628826615133
65,1.0,[73.1661605834961 991.589111328125 1327.7142333984375 1705.3602294921875],[305.62957763671875 1389.961669921875 589.648193359375 1490.754150390625],0.7247323393821716,MI399CT,0.9684199910426078
66,1.0,[73.8098373413086 992.054443359375 1326.47216796875 1706.1497802734375],[306.53619384765625 1390.744140625 589.6286010742188 1491.555908203125],0.7248179316520691,MI399CI,0.5265047165672283
67,1.0,[74.30165100097656 992.7247314453125 1326.2125244140625 1707.4803466796875],[307.1373596191406 1390.6689453125 589.822998046875 1491.940185546875],0.7272430062294006,MI399CT,0.9665621768543609
